date_time,is_holiday,air_pollution_index,humidity,wind_speed,wind_direction,visibility_in_miles,dew_point,temperature,rain_p_h,snow_p_h,clouds_all,weather_type,weather_description,traffic_volume
10/2/2012 9:00,None,121,89,2,329,1,1,288.28,0,0,40,Clouds,scattered clouds,5545
10/2/2012 10:00,None,178,67,3,330,1,1,289.36,0,0,75,Clouds,broken clouds,4516
10/2/2012 11:00,None,113,66,3,329,2,2,289.58,0,0,90,Clouds,overcast clouds,4767
10/2/2012 12:00,None,20,66,3,329,5,5,290.13,0,0,90,Clouds,overcast clouds,5026
10/2/2012 13:00,None,281,65,3,329,7,7,291.14,0,0,75,Clouds,broken clouds,4918
10/2/2012 14:00,None,23,65,3,328,6,6,291.72,0,0,1,Clear,sky is clear,5181
10/2/2012 15:00,None,184,64,3,328,7,7,293.17,0,0,1,Clear,sky is clear,5584
10/2/2012 16:00,None,167,64,3,327,7,7,293.86,0,0,1,Clear,sky is clear,6015
10/2/2012 17:00,None,119,63,3,327,6,6,294.14,0,0,20,Clouds,few clouds,5791
10/2/2012 18:00,None,161,63,3,326,3,3,293.1,0,0,20,Clouds,few clouds,4770
10/2/2012 19:00,None,243,62,3,326,8,8,290.97,0,0,20,Clouds,few clouds,3539
10/2/2012 20:00,None,150,62,3,326,5,5,289.38,0,0,1,Clear,sky is clear,2784
10/2/2012 21:00,None,128,61,4,325,4,4,288.61,0,0,1,Clear,sky is clear,2361
10/2/2012 22:00,None,18,61,4,325,7,7,287.16,0,0,1,Clear,sky is clear,1529
10/2/2012 23:00,None,186,60,4,324,5,5,285.45,0,0,1,Clear,sky is clear,963
10/3/2012 0:00,None,58,60,4,324,2,2,284.63,0,0,1,Clear,sky is clear,506
10/3/2012 1:00,None,158,59,4,324,6,6,283.47,0,0,1,Clear,sky is clear,321
10/3/2012 2:00,None,166,59,4,323,1,1,281.18,0,0,1,Clear,sky is clear,273
10/3/2012 3:00,None,101,58,4,323,7,7,281.09,0,0,1,Clear,sky is clear,367
10/3/2012 4:00,None,161,58,4,322,4,4,279.53,0,0,1,Clear,sky is clear,814
10/3/2012 5:00,None,179,57,4,322,3,3,278.62,0,0,1,Clear,sky is clear,2718
10/3/2012 6:00,None,93,57,4,322,4,4,278.23,0,0,1,Clear,sky is clear,5673
10/3/2012 8:00,None,57,56,4,321,4,4,278.12,0,0,1,Clear,sky is clear,6511
10/3/2012 9:00,None,226,56,4,321,4,4,282.48,0,0,1,Clear,sky is clear,5471
10/3/2012 12:00,None,86,55,4,320,3,3,291.97,0,0,1,Clear,sky is clear,5097
10/3/2012 13:00,None,52,55,4,320,1,1,293.23,0,0,1,Clear,sky is clear,4887
10/3/2012 14:00,None,273,55,4,320,4,4,294.31,0,0,1,Clear,sky is clear,5337
10/3/2012 15:00,None,72,55,5,350,3,3,295.17,0,0,1,Clear,sky is clear,5692
